"Hillnumber","Name","Latitude","Longitude","Ticked"
"2319","Skiddaw","54.651","-3.148","1"
"2320","Blencathra-Hallsfell Top","54.64","-3.05","1"
"2321","Skiddaw Little Man","54.64","-3.138","1"
"2325","Carl Side","54.642","-3.156","1"
"2326","Long Side","54.646","-3.166","1"
"2327","Lonscale Fell","54.634","-3.109","1"
"2328","Knott","54.687","-3.093","1"
"2329","Bowscale Fell","54.666","-3.035","1"
"2330","Ullock Pike","54.648","-3.172","1"
"2331","Great Calva","54.671","-3.101","1"
"2332","Bannerdale Crags","54.652","-3.032","1"
"2333","Bakestall","54.666","-3.139","1"
"2336","Carrock Fell","54.693","-3.023","1"
"2337","High Pike (Caldbeck)","54.705","-3.059","1"
"2338","Great Sca Fell","54.695","-3.101","1"
"2340","Mungrisdale Common","54.653","-3.068","1"
"2344","Brae Fell","54.706","-3.105","1"
"2345","Lord's Seat","54.628","-3.234","1"
"2346","Meal Fell","54.694","-3.114","1"
"2347","Great Cockup","54.69","-3.129","1"
"2348","Souther Fell","54.653","-3.002","1"
"2349","Dodd (Skiddaw)","54.636","-3.172","1"
"2350","Longlands Fell","54.708","-3.125","1"
"2351","Binsey","54.709","-3.204","1"
"2352","Latrigg","54.612","-3.118","1"
"2359","Scafell Pike","54.454","-3.212","1"
"2360","Scafell","54.448","-3.225","1"
"2364","Great End","54.465","-3.195","0"
"2365","Bowfell","54.448","-3.166","1"
"2367","Great Gable","54.482","-3.219","1"
"2368","Pillar","54.497","-3.281","0"
"2369","Esk Pike","54.457","-3.179","1"
"2371","Crinkle Crags-Long Top (Second Crinkle)","54.434","-3.16","1"
"2372","Grasmoor","54.572","-3.278","0"
"2373","Scoat Fell","54.491","-3.299","0"
"2374","Crag Hill (Eel Crag)","54.572","-3.25","1"
"2378","Red Pike (Wasdale)","54.484","-3.29","0"
"2379","Steeple","54.493","-3.302","0"
"2382","Lingmell","54.463","-3.221","0"
"2383","Kirk Fell","54.483","-3.244","0"
"2384","Green Gable","54.486","-3.214","1"
"2385","Haycock","54.485","-3.322","0"
"2386","Grisedale Pike","54.592","-3.242","1"
"2388","Allen Crags","54.466","-3.179","1"
"2389","Glaramara","54.484","-3.165","1"
"2393","Sail","54.571","-3.242","1"
"2394","Wandope","54.566","-3.257","1"
"2395","Hopegill Head","54.588","-3.262","1"
"2396","High Raise (High White Stones)","54.476","-3.111","1"
"2397","Slight Side","54.434","-3.22","0"
"2399","Red Pike (Buttermere)","54.527","-3.299","1"
"2400","Dale Head","54.527","-3.202","1"
"2401","High Crag (Buttermere)","54.515","-3.267","1"
"2405","Robinson","54.541","-3.235","1"
"2406","Harrison Stickle","54.457","-3.109","1"
"2407","Sergeant Man","54.47","-3.103","1"
"2411","Hindscarth","54.538","-3.214","0"
"2412","Ullscarf","54.5","-3.096","0"
"2413","Thunacar Knott","54.462","-3.113","1"
"2416","Brandreth","54.496","-3.214","1"
"2417","Pike of Stickle","54.456","-3.121","1"
"2418","Whiteside (Whiteside West Top)","54.586","-3.285","1"
"2419","Pike of Blisco","54.428","-3.125","1"
"2422","Cold Pike","54.423","-3.138","0"
"2423","Pavey Ark","54.461","-3.105","1"
"2424","Grey Knotts","54.502","-3.21","1"
"2425","Caw Fell","54.487","-3.341","0"
"2427","Seatallan","54.464","-3.328","1"
"2430","Loft Crag","54.454","-3.116","0"
"2432","Scar Crags","54.575","-3.226","1"
"2434","Whiteless Pike","54.559","-3.269","1"
"2436","High Spy","54.536","-3.185","1"
"2437","Rossett Pike","54.458","-3.16","1"
"2438","Fleetwith Pike","54.517","-3.228","1"
"2439","Base Brown","54.493","-3.198","1"
"2442","Causey Pike","54.577","-3.21","1"
"2445","Starling Dodd","54.53","-3.327","1"
"2450","Yewbarrow","54.465","-3.277","0"
"2451","Great Borne","54.535","-3.355","1"
"2454","Illgill Head","54.433","-3.283","1"
"2455","High Seat","54.553","-3.104","1"
"2456","Seathwaite Fell (Wainwright summit)","54.481","-3.191","0"
"2457","Haystacks (Buttermere)","54.507","-3.247","1"
"2458","Bleaberry Fell","54.566","-3.106","1"
"2459","Middle Fell","54.453","-3.311","1"
"2460","Ard Crags","54.567","-3.228","1"
"2461","Maiden Moor","54.553","-3.182","1"
"2462","Blake Fell","54.565","-3.377","0"
"2463","Sergeant's Crag","54.493","-3.122","1"
"2464","Outerside","54.582","-3.222","1"
"2465","Knott Rigg","54.559","-3.243","1"
"2466","Steel Fell (Dead Pike-Steel Fell)","54.491","-3.052","1"
"2467","Rosthwaite Fell-Bessyboot","54.502","-3.147","0"
"2468","Tarn Crag (Easedale)","54.474","-3.076","1"
"2469","Hard Knott","54.411","-3.185","1"
"2470","Blea Rigg","54.461","-3.079","1"
"2471","Lank Rigg","54.495","-3.404","1"
"2472","Calf Crag","54.484","-3.079","1"
"2473","Whin Rigg (Wasdale)","54.42","-3.31","1"
"2474","Gavel Fell","54.554","-3.367","0"
"2475","Eagle Crag","54.499","-3.12","1"
"2476","Crag Fell","54.517","-3.396","1"
"2477","Whinlatter (Brown How-Whinlatter)","54.615","-3.254","0"
"2478","High Tove","54.539","-3.1","1"
"2479","Mellbreak (Mellbreak South Top)","54.556","-3.318","0"
"2480","Broom Fell","54.632","-3.248","1"
"2481","Hen Comb","54.551","-3.343","0"
"2482","Grike","54.514","-3.415","1"
"2483","Armboth Fell","54.532","-3.09","1"
"2484","Burnbank Fell","54.576","-3.378","0"
"2485","Lingmoor Fell (Lingmoor Fell-Brown How)","54.432","-3.076","1"
"2486","Barf","54.63","-3.218","1"
"2487","Raven Crag","54.559","-3.079","0"
"2488","Barrow","54.586","-3.198","1"
"2489","Graystones","54.628","-3.278","0"
"2490","Cat Bells (Catbells)","54.568","-3.171","1"
"2491","Great Crag (Stonethwaite)","54.522","-3.129","1"
"2493","Low Fell","54.591","-3.337","1"
"2494","Gibson Knott","54.481","-3.056","1"
"2495","Fellbarrow-Mosser Fell","54.606","-3.345","1"
"2496","Grange Fell (Brund Fell)","54.536","-3.138","0"
"2497","Buckbarrow","54.443","-3.334","1"
"2498","Helm Crag","54.475","-3.041","1"
"2499","Silver How","54.451","-3.043","1"
"2500","Walla Crag","54.582","-3.12","1"
"2501","Ling Fell","54.645","-3.272","1"
"2502","Rannerdale Knotts","54.553","-3.289","1"
"2503","Sale Fell","54.656","-3.25","1"
"2507","Loughrigg Fell","54.437","-3.008","1"
"2508","Black Fell","54.406","-3.018","1"
"2510","Castle Crag","54.533","-3.162","1"
"2515","Helvellyn","54.527","-3.018","1"
"2517","Nethermost Pike","54.519","-3.015","1"
"2518","Catstye Cam","54.533","-3.009","0"
"2520","Raise","54.548","-3.017","0"
"2521","Fairfield","54.497","-2.992","1"
"2523","White Side","54.541","-3.025","0"
"2524","Dollywaggon Pike","54.509","-3.011","1"
"2525","Great Dodd","54.576","-3.019","1"
"2526","Stybarrow Dodd","54.561","-3.017","1"
"2527","St Sunday Crag","54.512","-2.976","1"
"2528","High Street","54.492","-2.865","1"
"2529","Hart Crag","54.493","-2.977","1"
"2530","High Raise (High Street)","54.513","-2.854","1"
"2532","Rampsgill Head","54.508","-2.861","1"
"2533","Dove Crag","54.485","-2.967","1"
"2534","Watson's Dodd","54.567","-3.029","1"
"2535","Thornthwaite Crag","54.483","-2.879","1"
"2536","Kidsty Pike","54.506","-2.855","1"
"2537","Harter Fell (Mardale)","54.476","-2.835","1"
"2538","Red Screes","54.471","-2.933","0"
"2539","Great Rigg","54.485","-2.996","1"
"2540","Stony Cove Pike (Caudale Moor)","54.482","-2.9","1"
"2541","Mardale Ill Bell","54.483","-2.854","0"
"2542","Ill Bell","54.462","-2.871","1"
"2543","Hart Side","54.569","-2.993","1"
"2544","The Knott (High Street)","54.506","-2.871","0"
"2545","Seat Sandal","54.495","-3.014","1"
"2546","Kentmere Pike","54.463","-2.826","1"
"2547","Clough Head","54.594","-3.032","1"
"2548","Froswick","54.469","-2.873","1"
"2549","Birkhouse Moor","54.535","-2.985","0"
"2550","Branstree","54.483","-2.808","1"
"2551","Yoke","54.453","-2.869","1"
"2552","Gray Crag","54.497","-2.885","1"
"2553","Rest Dodd","54.515","-2.878","0"
"2554","Sheffield Pike","54.555","-2.977","1"
"2556","Loadpot Hill","54.555","-2.842","1"
"2557","Wether Hill","54.543","-2.842","1"
"2559","Tarn Crag (Sleddale)","54.463","-2.791","0"
"2561","Place Fell","54.544","-2.921","1"
"2562","High Pike (Scandale)","54.471","-2.967","1"
"2563","Selside Pike","54.493","-2.788","1"
"2564","Middle Dodd","54.478","-2.932","0"
"2565","Grey Crag (Sleddale Fell)","54.458","-2.777","0"
"2566","Little Hart Crag (Little Hart Crag-West Top)","54.482","-2.947","0"
"2570","Birks","54.521","-2.959","1"
"2572","Hartsop Dodd","54.499","-2.91","1"
"2573","Heron Pike (Rydal)","54.466","-2.995","1"
"2574","Shipman Knotts","54.449","-2.815","1"
"2577","The Nab","54.529","-2.876","0"
"2578","Hartsop Above How (Gill Crag-Hartsop Above How)","54.5","-2.954","1"
"2579","Angletarn Pikes (Angletarn Pikes North Top)","54.525","-2.908","1"
"2582","Brock Crags (Wainwright)","54.515","-2.903","1"
"2583","Great Mell Fell","54.62","-2.936","1"
"2584","Arthur's Pike","54.578","-2.836","1"
"2588","Bonscale Pike","54.573","-2.847","1"
"2589","High Hartsop Dodd","54.489","-2.938","0"
"2590","Sallows","54.428","-2.87","1"
"2595","Beda Fell (Beda Head)","54.546","-2.884","1"
"2596","Low Pike","54.462","-2.968","1"
"2598","Little Mell Fell","54.608","-2.894","1"
"2601","Stone Arthur","54.474","-3.008","0"
"2607","Baystones (Wansfell)","54.438","-2.922","1"
"2609","Sour Howes","54.421","-2.884","1"
"2610","Gowbarrow Fell (Wainwright summit)","54.588","-2.918","1"
"2611","Nab Scar","54.456","-2.996","1"
"2612","Glenridding Dodd","54.549","-2.959","1"
"2614","Arnison Crag","54.526","-2.939","0"
"2615","Steel Knotts (Pikeawassa-Steel Knotts)","54.555","-2.867","1"
"2623","Hallin Fell","54.57","-2.879","1"
"2626","Troutbeck Tongue","54.45","-2.892","1"
"2627","High Rigg (Naddle Fell)","54.588","-3.072","1"
"2634","The Old Man of Coniston (Coniston Old Man)","54.371","-3.121","1"
"2635","Swirl How","54.395","-3.122","1"
"2636","Brim Fell","54.377","-3.124","1"
"2637","Great Carrs","54.399","-3.125","1"
"2638","Dow Crag","54.37","-3.137","1"
"2639","Grey Friar","54.393","-3.141","1"
"2640","Wetherlam","54.4","-3.098","1"
"2643","Harter Fell (Eskdale)","54.387","-3.205","1"
"2655","Green Crag","54.374","-3.233","1"
"2673","Holme Fell","54.396","-3.057","1"
"3728","High Stile","54.522","-3.288","1"
