Name,Grid Reference,Walk Link,Lat,Long,Ticked
Abney Moor (Durham Edge) *,SK 18043 79421,Abney Moor (Durham Edge) *,,,
Aleck Low *,SK 17502 59475,Aleck Low *,,,
Alphin Pike,SE 00296 02817,Alphin Pike,,,
Axe Edge,SK 03502 70613,Axe Edge,,,
Back Tor,SK 19763 90991,Back Tor,,,Y
Bank Top *,SK 11802 60064,Bank Top *,,,
Birchen Edge,SK 27825 73093,Birchen Edge,,,
Black Edge,SK 06254 77006,Black Edge,,,
Blacka Plantation *,SK 28995 81251,Blacka Plantation *,,,
Blackstones Low,SK 21000 55420,Blackstones Low,,,
Blake Mere (Merryton Low),SK 04134 60999,Blake Mere (Merryton Low),,,
Blakelow Hill *,SK 25454 59395,Blakelow Hill *,,,
Bole Hill *,SK 18403 67589,Bole Hill *,,,
Bradnop *,SK 03842 54265,Bradnop *,,,
Bradwell Moor,SK 13179 80133,Bradwell Moor,,,
Brown Knoll,SK 08369 85129,Brown Knoll,,,
Burbage Edge,SK 02960 73247,Burbage Edge,,,
Calton Pastures,SK 23779 68174,Calton Pastures,,,
Chinley Churn *,SK 03549 83633,Chinley Churn *,,,
Cock Hill,SK 05931 96189,Cock Hill,,,
Dead Edge End,SE 12445 01728,Dead Edge End,,,
Ecton Hill,SK 09979 57998,Ecton Hill,,,
Edale Moor (Kinder Scout Plateau),SK 12927 87809,Edale Moor (Kinder Scout Plateau),,,
Elton Common (aka Blake Low) *,SK 22069 60220,Elton Common (aka Blake Low) *,,,
Emlin Ridge,SK 23987 93364,Emlin Ridge,,,
Featherbed Moss,SE 04643 01169,Featherbed Moss,,,
Flask Edge,SK 28492 78842,Flask Edge,,,
Grindon Moor *,SK 07153 55089,Grindon Moor *,,,
Gun,SJ 97006 61515,Gun,,,
Hardings Booth *,SK 07203 63937,Hardings Booth *,,,
Harland South (Beeley Moor),SK 30088 68157,Harland South (Beeley Moor),,,
Harry Hut,SK 04477 90771,Harry Hut,,,
Hawks Low *,SK 16972 57028,Hawks Low *,,,
Hey Edge,SE 08030 00440,Hey Edge,,,
High Low *,SK 15571 67700,High Low *,,,
High Neb,SK 22816 85344,High Neb,,,
High Rake *,SK 20881 73402,High Rake *,,,
High Wheeldon,SK 10037 66111,High Wheeldon,,,
Higher Shelfstones,SK 08894 94787,Higher Shelfstones,,,
Hill House,SK 05169 58571,Hill House,,,
Hollinsclough Moor *,SK 05531 65838,Hollinsclough Moor *,,,
Holme Moss (Black Hill),SE 07816 04684,Holme Moss (Black Hill),,,
Hopping Top aka Harthill Moor *,SK 20977 62718,Hopping Top aka Harthill Moor *,,,
Kinder Low (Kinder Scout Plateau),SK 07904 87059,Kinder Low (Kinder Scout Plateau),,,
Kirk Edge *,SK 27723 92947,Kirk Edge *,,,
Ladder Hill *,SK 02772 78867,Ladder Hill *,,,
Lantern Pike,SK 02390 87945,Lantern Pike,,,
Lean Low *,SK 14956 62235,Lean Low *,,,
Long Rake *,SK 18363 64158,Long Rake *,,,
Mam Tor,SK 12769 83612,Mam Tor,,,
Margery Hill,SK 18911 95695,Margery Hill,,,
Martins Low,SK 07112 51986,Martins Low,,,
Moor Plantation (Stanton Moor),SK 24496 62906,Moor Plantation (Stanton Moor),,,
Moor Top *,SK 02964 55303,Moor Top *,,,
Musden Low *,SK 11832 50080,Musden Low *,,,
Noton Barn *,SK 21667 66169,Noton Barn *,,,
Oker Hill,SK 27120 61303,Oker Hill,,,
Outer Edge,SK 17703 96973,Outer Edge,,,
Ox Stones,SK 28021 83134,Ox Stones,,,
Parsley Hay Farm *,SK 14594 64229,Parsley Hay Farm *,,,
Revidge,SK 07739 59910,Revidge,,,
Reynards (Tissington Hill) *,SK 15107 52677,Reynards (Tissington Hill) *,,,
Rod Moor,SK 26268 88413,Rod Moor,,,
Saddleworth (Broadstone Hill),SE 02076 06964,Saddleworth (Broadstone Hill),,,
Sheen Hill *,SK 11055 62539,Sheen Hill *,,,
Shining Tor,SJ 99463 73739,Shining Tor,,,
Shutlingsloe,SJ 97645 69574,Shutlingsloe,,,
Sir William Hill,SK 21538 77891,Sir William Hill,,,Y
Slipper Low *,SK 22701 56897,Slipper Low *,,,
Snailsden,SE 13198 03311,Snailsden,,,
Soles Hill *,SK 09794 52505,Soles Hill *,,,
Sough Top *,SK 13330 70896,Sough Top *,,,
South Nab,SE 15629 00319,South Nab,,,
Sponds Hill *,SJ 97001 80294,Sponds Hill *,,,
Stanage Edge (White Path Moss),SK 25094 83017,Stanage Edge (White Path Moss),,,
The Edge (Kinder Scout Plateau),SK 07698 89370,The Edge (Kinder Scout Plateau),,,
The Roaches,SK 00107 63891,The Roaches,,,
Wardlow,SK 17851 73972,Wardlow,,,
West End Moor,SK 12878 93255,West End Moor,,,
West Nab,SE 07644 08792,West Nab,,,
Wetton Low *,SK 11223 54743,Wetton Low *,,,
Wheston *,SK 13841 76565,Wheston *,,,
White Edge,SK 26378 75855,White Edge,,,Y
Whitwell Moor,SK 24972 97237,Whitwell Moor,,,
Wibben Hill *,SK 18374 52247,Wibben Hill *,,,
Winhill Pike (Win Hill),SK 18678 85093,Winhill Pike (Win Hill),,,
Wolfscote Hill,SK 13705 58323,Wolfscote Hill,,,
Wormhill *,SK 10721 75621,Wormhill *,,,